,year,weekday,total_killed,pedestrians_killed,cyclist_killed,motorist_killed
0,2012,Mon,6,1,0,5
1,2012,Tue,3,0,0,3
2,2012,Wed,3,1,0,2
3,2012,Thu,3,2,0,1
4,2012,Fri,1,0,0,1
5,2012,Sat,6,4,0,2
6,2012,Sun,9,1,0,8
7,2013,Mon,6,6,0,0
8,2013,Tue,9,4,0,5
9,2013,Wed,5,3,0,2
10,2013,Thu,4,1,0,3
11,2013,Fri,5,4,0,1
12,2013,Sat,17,4,0,13
13,2013,Sun,10,2,0,8
14,2014,Mon,5,1,0,4
15,2014,Tue,4,1,0,3
16,2014,Wed,4,2,0,2
17,2014,Thu,6,3,0,3
18,2014,Fri,10,3,0,7
19,2014,Sat,4,2,0,2
20,2014,Sun,8,1,0,7
21,2015,Mon,13,4,2,7
22,2015,Tue,7,2,0,5
23,2015,Wed,10,1,1,8
24,2015,Thu,3,1,0,2
25,2015,Fri,2,2,0,0
26,2015,Sat,4,1,0,3
27,2015,Sun,8,3,0,5
28,2016,Mon,3,2,0,1
29,2016,Tue,3,2,0,1
30,2016,Wed,2,1,0,1
31,2016,Thu,2,1,0,1
32,2016,Fri,3,2,0,1
33,2016,Sat,2,0,0,2
34,2016,Sun,7,2,0,5
35,2017,Mon,5,3,0,2
36,2017,Tue,8,6,2,0
37,2017,Wed,2,0,0,2
38,2017,Thu,4,2,0,2
39,2017,Fri,2,0,0,2
40,2017,Sat,7,1,0,6
41,2017,Sun,8,4,1,3
42,2018,Mon,7,4,0,3
43,2018,Tue,3,2,0,1
44,2018,Wed,3,3,0,0
45,2018,Thu,4,1,0,3
46,2018,Fri,4,0,0,4
47,2018,Sat,8,0,0,8
48,2018,Sun,3,1,0,2
49,2019,Mon,1,1,0,0
50,2019,Tue,6,2,0,4
51,2019,Wed,4,2,0,2
52,2019,Thu,1,0,1,0
53,2019,Fri,2,2,0,0
54,2019,Sat,4,2,1,1
55,2019,Sun,5,1,1,3
56,2020,Mon,3,0,0,3
57,2020,Tue,10,3,0,7
58,2020,Wed,4,3,0,1
59,2020,Thu,6,3,0,3
60,2020,Fri,9,4,0,5
61,2020,Sat,14,1,1,12
62,2020,Sun,6,2,0,4
63,2021,Mon,2,0,0,2
64,2021,Tue,5,2,0,3
65,2021,Wed,1,0,0,1
66,2021,Thu,3,1,0,2
67,2021,Fri,7,3,0,4
68,2021,Sat,7,2,0,5
69,2021,Sun,3,0,0,3
70,2022,Mon,6,4,0,2
71,2022,Tue,5,0,0,5
72,2022,Wed,2,2,0,0
73,2022,Thu,3,2,0,1
74,2022,Fri,5,2,0,3
75,2022,Sat,6,3,0,2
76,2022,Sun,9,0,0,9
77,2023,Mon,7,1,0,6
78,2023,Tue,3,1,0,2
79,2023,Wed,6,1,0,5
80,2023,Thu,4,2,0,2
81,2023,Fri,4,2,0,2
82,2023,Sat,2,0,0,2
83,2023,Sun,7,2,0,5
84,2024,Mon,6,3,0,3
85,2024,Tue,4,3,0,1
86,2024,Wed,4,2,1,1
87,2024,Thu,7,6,0,1
88,2024,Fri,1,0,0,1
89,2024,Sat,7,1,0,6
90,2024,Sun,7,0,1,6
